"","Constituency.Name","Electorate","Votes","Lab","Con","LD","Grn","UKIP","SNP","year","leave"
"987","Pontypridd",58205,36671,14220,5932,11435,361,1229,0,2010,0.4581995036
"988","Poole",72557,47393,6102,23745,5572,2198,7956,0,2015,0.5694324444
"989","Poole",72641,47436,6041,22532,14991,0,2507,0,2010,0.5694324444
"990","Poplar and Limehouse",74955,46700,18679,12649,5209,449,565,0,2010,0.3418642886
"991","Poplar and Limehouse",82081,51044,29886,12962,2149,2463,3128,0,2015,0.3418642886
"992","Portsmouth North",70329,44118,12244,19533,8874,461,1812,0,2010,0.6369341446
"993","Portsmouth North",73105,45390,10806,21343,2828,1450,8660,0,2015,0.6369341446
"994","Portsmouth South",70242,41264,5640,13721,18921,716,876,0,2010,0.517630344
"995","Portsmouth South",71639,41903,8184,14585,9344,3145,5595,0,2015,0.517630344
"996","Preseli Pembrokeshire",57291,40556,11414,16383,780,1452,4257,0,2015,0.5576907309
"997","Preseli Pembrokeshire",57400,39602,12339,16944,5759,0,906,0,2010,0.5576907309
"998","Preston",59981,33469,0,6688,1244,1643,5139,0,2015,0.5685128315
"999","Preston",61187,32505,15668,7060,7935,0,1462,0,2010,0.5685128315
"1000","Pudsey",70533,50927,19136,23637,1926,1539,4689,0,2015,0.4835271501
"1001","Pudsey",69257,49083,17215,18874,10224,0,1221,0,2010,0.4835271501
"1002","Putney",63923,42813,12838,23018,2717,2067,1989,0,2015,0.2685141314
"1003","Putney",63371,40785,11170,21223,6907,591,435,0,2010,0.2685141314
"1004","Rayleigh and Wickford",75661,52343,7577,30257,7919,0,2211,0,2010,0.6788950925
"1005","Rayleigh and Wickford",77174,53220,6705,29088,1622,1529,11858,0,2015,0.6788950925
"1006","Reading East",74929,49985,12729,21269,13664,1069,1086,0,2010,0.3823854953
"1007","Reading East",73232,50494,16697,23217,3719,3214,3647,0,2015,0.3823854953
"1008","Reading West",72120,47530,14519,20523,9546,582,1508,0,2010,0.5267668701
"1009","Reading West",72567,48404,16432,23082,2355,1406,4826,0,2015,0.5267668701
"1010","Redcar",67127,41963,13741,5790,18955,0,1875,0,2010,0.6757391852
"1011","Redcar",64826,40919,0,6630,7558,880,7516,0,2015,0.6757391852
"1012","Redditch",65531,44098,13717,20771,1349,960,7133,0,2015,0.6141973496
"1013","Redditch",66573,44018,13317,19138,7750,393,1497,0,2010,0.6141973496
"1014","Reigate",71604,49978,5672,26688,13097,1087,2089,0,2010,0.4779435149
"1015","Reigate",73429,51349,6578,29151,5369,3434,6817,0,2015,0.4779435149
"1016","Renfrewshire East",69982,56730,19295,12465,1069,0,888,23013,2015,NA
"1017","Renfrewshire East",66249,51181,25987,15567,4720,0,372,4535,2010,NA
"1018","Rhondda",51811,31538,15976,2116,474,453,3998,0,2015,0.6124288659
"1019","Rhondda",51554,31072,17183,1993,3309,0,358,0,2010,0.6124288659
